tag,Country,Population,AreaSqKm,Density
afghan,"Afghanistan",36643815,652230,56.2
albania,"Albania",3074579,27398,112.2
algeria,"Algeria",42972878,2381740,18
andorra,"Andorra",85635,468,183
angola,"Angola",32522339,1246700,26.1
anguilla,"Anguilla",18090,91,198.8
antigua,"Antigua and Barbuda",98179,443,221.8
argent,"Argentina",45479118,2736690,16.6
armenia,"Armenia",3021324,28203,107.1
aruba,"Aruba",119428,180,663.5
australia,"Australia",25466459,7682300,3.3
austria,"Austria",8859449,82445,107.5
azerb,"Azerbaijan",10205810,82629,123.5
bahamas,"Bahamas",337721,10010,33.7
bahrain,"Bahrain",1505003,760,1980.3
bangl,"Bangladesh",162650853,130170,1249.5
barb,"Barbados",294560,430,685
belarus,"Belarus",9477918,202900,46.7
belgium,"Belgium",11720716,30278,387.1
belize,"Belize",399598,22806,17.5
benin,"Benin",12864634,110622,116.3
bermuda,"Bermuda",71750,54,1328.7
bhutan,"Bhutan",782318,38394,20.4
bolivia,"Bolivia",11639909,1083301,10.7
bosnia,"Bosnia and Herzegovina",3835586,51187,74.9
bots,"Botswana",2317233,566730,4.1
brazil,"Brazil",211715973,8358140,25.3
brvirg,"British Virgin Islands",37381,151,247.6
brunei,"Brunei",464478,5265,88.2
bulg,"Bulgaria",6966899,108489,64.2
burk,"Burkina Faso",20835401,273800,76.1
burma,"Burma",56590071,653508,86.6
burundi,"Burundi",11865821,25680,462.1
caboverde,"Cabo Verde",583255,4033,144.6
cambodia,"Cambodia",16926984,176515,95.9
cameroon,"Cameroon",27744989,472710,58.7
canada,"Canada",37694085,9093507,4.1
cayman,"Cayman Islands",61944,264,234.6
car,"Central African Republic",5990855,622984,9.6
chad,"Chad",16877357,1259200,13.4
channel,"Channel Islands",168125,194,866.6
chile,"Chile",18186770,743812,24.5
china,"China",1394015977,9326410,149.5
colombia,"Colombia",49084841,1038700,47.3
congbraz,"Congo (Brazzaville)",5293070,341500,15.5
congkins,"Congo (Kinshasa)",101780263,2267048,44.9
costa,"Costa Rica",5097988,51060,99.8
cote,"Cote d'Ivoire",27481086,318003,86.4
croatia,"Croatia",4227746,55974,75.5
cuba,"Cuba",11059062,109820,100.7
curacao,"Curacao",151345,444,340.9
cyprus,"Cyprus",1266676,9241,137.1
czechia,"Czechia",10702498,77247,138.5
denmark,"Denmark",5869410,42434,138.3
